author;key;affiliation;university_homepage
T. Song;conf/ssdbm/GrossmanQVXDLMQMLMPBCLLNSS94;Chongqing Three Gorges University;http://www.sanxiau.edu.cn/
T. Soon;conf/er/AckleyCSTTTZ90;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
T. Sunohara;conf/icse/SunoharaTUO81;Al al-Bayt University;http://www.aabu.edu.jo/
T. Suzuki;conf/iwdm/KitsuregawaYST87;American-European School of Management ;http://www.aesom.com/
T. Svensen;conf/vldb/ColletCS94;Bard College;http://www.bard.edu/
T. T. Carey;journals/cacm/MasonC83;University of Adelaide;http://www.adelaide.edu.au/
T. Takagi;conf/icde/MiyagawaITN84;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
T. Tyler;conf/mss/GrossmanQXHT95;College of St. Elizabeth;http://www.st-elizabeth.edu/
T. V. Lakshman;journals/tse/LakshmanA86|conf/icdcs/LakshmanA86;Agricultural University of Georgia;http://www.agruni.edu.ge/
T. V. Manoj;journals/tkde/ManojLS98;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/
T. V. Prabhakar;conf/vldb/PrabhakarS84;University of South Africa;http://www.unisa.ac.za/
T. W. Parr;conf/ssdbm/LaneP98;University of East Srarajevo;http://www.unssa.rs.ba/
T. Walters;conf/sigmod/OConnellISWABCCLPWW96;Universidad Autónoma de Nuevo León;http://www.uanl.mx/
T. William Olle;conf/er/Olle90|conf/ds/Olle75|conf/cris/Olle88a|conf/jcdkb/Olle78|conf/ifip/Olle74;Jones College;http://www.jones.edu/
T. Y. Chen;journals/ngc/ChenLP86;Symbiosis International University;http://www.siu.edu.in/
T. Y. Cheung;journals/jacm/YuLC76;Brunel University Uxbridge;http://www.brunel.ac.uk/
T. Y. Cliff Leung;conf/icde/PiraheskLH97|conf/icde/SeshadriPL96|conf/icde/LeungM90|conf/sigmod/SeshadriHPLRSSS96|conf/vldb/ChengGKLLQS99|conf/vldb/LeungM92|journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94a|journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94|conf/ride/LeungM92|conf/tdb/LeungP95;Chonbuk Sanup University of Technology (Howon University);http://www.howon.ac.kr/
T. Y. Leung;journals/tods/BatoryLW88;Al-Yamamah College;http://www.alyamamah.edu.sa/
Ta Chen;conf/iclp/ChenRR92;University of Leeds;http://www.leeds.ac.uk/
Ta-Hsiung Hu;conf/icde/HuaVH99;Fachhochschule St. Gallen;https://www.fhsg.ch/
Ta-Wei Tsao;journals/tkde/ChenBT95;Saybrook Institute;http://www.saybrook.org/
Tad B. Pinkerton;journals/cacm/TeoreyP72|conf/sigmetrics/ReinerP81;Universitas Negeri Padang;http://www.unp.ac.id/
Tad Hogg;journals/tse/WaldspurgerHHKS92;Groupe Sup de Co Amiens Picardie;http://www.supco-amiens.fr/
Tadao Ichikawa;journals/tkde/TsudaYHTI91|journals/tkde/WuI92|conf/icde/NakayamaHI84|conf/icde/WuTI89|conf/icde/TomodaTI86|journals/software/IchikawaH90|journals/tse/IchikawaH86|journals/tse/ChangJLTI85|journals/tse/TanakaI88|journals/vlc/TsudaYHTI90|journals/vlc/YoshitakaHYHI96|conf/icmcs/YoshitakaYHI96;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
Tadao Kasami;journals/cacm/PetersonKT73|journals/tocs/SuzukiK85|journals/siamcomp/HagiharaITK79|journals/siamcomp/ItoIK85;Fontbonne College;http://www.fontbonne.edu/
Tadao Murata;journals/tkde/MurataSW91|journals/tkde/ShimuraLM95|journals/tkde/JeffreyLM96|journals/jcss/SuzukiM83|journals/tse/MurataZ88|journals/tse/PeterkaM89;Indian Institute of Technology, Guwahati;http://www.iitg.ernet.in/
Tadao Saito;conf/vldb/ItohKSS77;Long Island University, Southampton College;http://www.southampton.liunet.edu/
Tadao Takaoka;journals/cacm/ZhuT89|conf/focs/MoffatT85;Western Michigan University;http://www.wmich.edu/
Tadashi Hoshiai;conf/icde/IshikawaIYHM86|journals/expert/IchikawaIYHM87;Moody Bible Institute;http://www.moody.edu/
Tadashi Ohmori;conf/icde/OhmoriKT90|conf/icde/OhmoriKT91|conf/dasfaa/OhmoriH95|conf/iwdm/OhmoriT87;Universidade Vale do Rio Doce;http://www.univale.br/
Tadeusz Morzy;conf/icde/Morzy93|conf/vldb/CellaryM85|conf/edbt/MorzyMS94|conf/icdt/SalzaBM95|conf/adbis/KrzyzagorskiM97|conf/adbis/MorzyZ97|conf/adbis/MorzyWZ99|conf/adbis/MatysiakMC98|conf/adbis/SalzaBM98|conf/adbis/KrzyzagorskiM95|conf/dexa/Morzy91;Symbiosis International University;http://www.siu.edu.in/
Tadeusz Radecki;conf/sigir/Radecki80;Brunel University Uxbridge;http://www.brunel.ac.uk/
Tae H. Ahn;conf/ssdbm/AhnJKLK90;Coker College;http://www.coker.edu/
Tae Young Lim;conf/dasfaa/KimCLS95;Fontbonne College;http://www.fontbonne.edu/
Tae-Soo Chang;conf/dasfaa/ChangT89|conf/dood/TanakaC89;Halmstad University College;http://www.hh.se/
TaeNam Cho;conf/dasfaa/ChoK93;Voronezh State University;http://www.vsu.ru/
Taeck-Geun Kwon;conf/dasfaa/KimKNL97|journals/mms/KwonCL97|conf/iwmmdbms/KwonL95;Ecole Supérieure de Commerce de Toulouse;http://www.esc-toulouse.fr/
Taedong Han;conf/er/HanPS99;Plymouth State College;http://www.plymouth.edu/
Taekyong Lee;conf/ssdbm/LeeBKOO96|journals/tkde/LeeSBBOO99|conf/ride/LeeO98;Universidad Albert Einstein;http://www.uae.edu.sv/
Taesoon Park;conf/dasfaa/KimPSK93;American-European School of Management ;http://www.aesom.com/
Taha Khedro;conf/aaai/KhedroG94;Agricultural University of Georgia;http://www.agruni.edu.ge/
Taieb Znati;journals/tkde/ZnatiF93|conf/nossdav/FieldZ91;Tabari Institute of Higher Education;http://www.tabari.ac.ir/ 
Taisook Han;conf/dasfaa/KimHL99;University of South Africa;http://www.unisa.ac.za/
Taisuke Sato;conf/iclp/TamakiS84|conf/iclp/TamakiS86;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
Taizo Miyachi;conf/slp/MiyachiKKFTY84|conf/slp/KitakamiKMF84;Indian Institute of Technology, Guwahati;http://www.iitg.ernet.in/
Tak W. Yan;journals/tods/YanG94|journals/debu/YanG96|conf/icde/YanG94|conf/sigmod/ChaudhuriDY95|conf/vldb/YanG95|conf/vldb/YanA94|conf/pdis/YanG94|journals/tods/YanG99|conf/usenix/YanG95;University of Perugia;http://www.unipg.it/
Tak Woon Yan;journals/cn/YanJGD96;Universitas Siliwangi;http://www.unsil.ac.id/
Tak-Sun Yuen;journals/tse/YuenD86|journals/tse/WangYD87;California Institute of Integral Studies;http://www.ciis.edu/
Takaashi Sumiyoshi;conf/dasfaa/MasaiYISMSHY89;Universidad de Monterrey;http://www.udem.edu.mx/
Takafumi Sakurai;conf/fgcs/SatoS84;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
Takahiko Shintani;conf/sigmod/ShintaniK98|conf/pdis/ShintaniK96;Arkansas State University, Mountain Home;http://www.asumh.edu/
Takahiro Hara;journals/tkde/HaraHTN98|conf/icde/HaraHTN98|conf/sac/HaraHTN97;Harding University Graduate School of Religion;http://www.hugsr.edu/
Takahiro Kurosawa;conf/icde/KiyokiKKM91|conf/dasfaa/KiyokiKLKM89;Universidad Privada Boliviana;http://www.upb.edu/
Takahiro Matsumoto;conf/dasfaa/KoisoMT99;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
Takaji Suzuki;journals/cacm/WatanabeOS83;Chung-Ang University;http://www.cau.ac.kr/
Takaki Kuroda;conf/dasfaa/XuK89;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Takako M. Hickey;conf/sigmod/BonnetBCCCHKMMOSS99|journals/cacm/BowenGHHLMRW92;University of Leeds;http://www.leeds.ac.uk/
Takamoto Imataki;conf/ifip/TanakaI89;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
Takanobu Baba;journals/tc/BabaH81|conf/iwdm/BabaSY87;University of Kalyani;http://www.klyuniv.ac.in/
Takanori Yamakita;conf/icde/YamakitaF99;University of Lucknow;http://www.lucknowuniv.org/
Takao Asano;journals/jal/ImaiA87|conf/focs/AsanoA83;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Takao Miura;conf/er/Miura92|conf/dasfaa/Miura91|conf/vldb/ArisawaMM83|conf/vldb/ArisawaM86|journals/is/MiuraMA87|journals/dke/MiuraM92|journals/dke/Miura94;Universidad Técnica Estatal de Quevedo;http://www.uteq.edu.ec/
Takao Nishizeki;journals/acta/ChibaON85;Hanover College;http://www.hanover.edu/
Takao Tsuda;conf/vldb/TanakaT77|journals/acta/TsudaS83|journals/acta/TsudaUS83;Zhengzhou University of Technology;http://www.zzut.edu.cn/
Takashi Chikayama;journals/ngc/UchidaHYCNA93|conf/fgcs/Chikayama92|conf/fgcs/Chikayama84|conf/iclp/TakagiYUKHCST84;Lancaster University Ghana;http://www.lancaster.edu.gh/
Takashi Fuji;conf/icde/YamakitaF99;Chongqing University of Communications;http://www.cquc.edu.cn/
Takashi Hattori;conf/iclp/TakagiYUKHCST84;Shoreline Community College;http://www.shoreline.edu/
Takashi Ishizaka;conf/dasfaa/ShimadaNISKI89;Universidad de Monterrey;http://www.udem.edu.mx/
Takashi Masuda;conf/icde/KiyokiKKM91|conf/dasfaa/KiyokiKLKM89|journals/tse/KatoM92|conf/iwdm/KiyokiKYM87;Universidad Nacional de General Sarmiento;http://www.ungs.edu.ar/
Takashi Nakayama;conf/dasfaa/KawakamiNKH89;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
Takashi Sato;journals/acta/TsudaS83|journals/acta/TsudaUS83|journals/spe/AoeMS92;Klaipeda University;http://www.ku.lt/
Takashi Tomii;conf/er/SalevTA98|conf/icmcs/ArisawaTS96;University of Dallas;http://www.udallas.edu/
Takashi Yano;conf/icde/ShirotaIMY99;Bundelkhand University;http://www.bundelkhanduniversity.org/
Takashi Yokomori;conf/vldb/Yokomori86|conf/fgcs/Yokomori84|conf/ijcai/Yokomori85;Zhengzhou University of Technology;http://www.zzut.edu.cn/
Takashi Yozawa;conf/usenix/WadaYOT93;Pennsylvania State University - Abington;http://www.abington.psu.edu/
Takaya Ishida;conf/dasfaa/WadaNKI89;Université de Caen Basse Normandie;http://www.unicaen.fr/
Takayuki Kushida;conf/dl/TakahashiKHSKRMGRL98;Catholic University in Ruzomberok;http://www.ku.sk/
Takayuki Nakano;conf/ssdbm/SatoNFH86;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html
Takayuki Suzuki;conf/adc/SuzukiK96;Université d'Aix-Marseille III;http://www.u-3mrs.fr/
Takayuki Tamura;conf/dasfaa/TamuraK97|conf/icpp/TamuraNKO96;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html
Takayuki Tanaka;conf/er/AmagasaATK98;Zaporizhzhe National University;http://www.znu.edu.ua/
Takeaki Teramoto;journals/iandc/YamamotoTF72;Japan Advanced Institute of Science and Technology;http://www.jaist.ac.jp/
Takehiro Furudate;conf/dasfaa/IshikawaFU97;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
Takenobu Tokunaga;conf/aaai/IwayamaTT90;Tyumen State University;http://www.tsu.tmn.ru/
Takenori Makino;conf/vldb/HakozakiMMUH77;Quantum-Veritas International University;http://www.qvius.edu/
Takeo Kakuta;conf/pods/YokotaKKMSM84|journals/ngc/ShibayamaKMYM84|conf/fgcs/MurakamiKO84|conf/fgcs/ShibayamaKMYM84|conf/isca/MurakamiKMSY83|conf/iwdm/KakutaMSYM85;Bundelkhand University;http://www.bundelkhanduniversity.org/
Takeo Kanade;journals/cacm/ChristelKMRSSW95|journals/computer/WactlarKSS96|conf/caivd/SmithK98;University of South Africa;http://www.unisa.ac.za/
Takeshi Fukuda;conf/sigmod/FukudaMMT96|conf/sigmod/FukudaMMT96a|conf/vldb/FukudaMMT96|conf/vldb/MorimotoFMTY98|conf/pods/FukudaMMT96|conf/edbt/FukudaM98|conf/kdd/YodaFMMT97;Universidad del Magdalena;http://www.unimagdalena.edu.co/
Takeshi Shinohara;conf/icde/MatsuoFS86;Universidad Técnica Estatal de Quevedo;http://www.uteq.edu.ec/
Takeshi Tokuyama;conf/sigmod/FukudaMMT96|conf/sigmod/FukudaMMT96a|conf/vldb/FukudaMMT96|conf/vldb/MorimotoFMTY98|conf/pods/FukudaMMT96|conf/soda/AsanoCKT96|conf/kdd/YodaFMMT97;Southeastern Oklahoma State University;http://www.sosu.edu/
Takio Kurita;conf/dexa/KatoK90;Tashkent Medical Academy;http://www.tma.uz/
Takuhiro Nagafuji;conf/edbt/ToyamaN98;Moody Bible Institute;http://www.moody.edu/
Takuo Koguchi;conf/dasfaa/FujisawaKKK91|conf/fgcs/KoguchiKOI88|conf/ismis/KondoK87;American University of Beirut;http://www.aub.edu.lb/
Takuo Watanabe;conf/oopsla/MasuharaMWY92;Karlshochschule International University;http://www.karlshochschule.de/
Takuro Kanamori;conf/dasfaa/WadaNKI89;Lancaster University Ghana;http://www.lancaster.edu.gh/
Takushi Tanaka;journals/tkde/Tanaka93|journals/jlp/Tanaka91|conf/ijcai/Tanaka85|conf/ijcai/Tanaka83;Halmstad University College;http://www.hh.se/
Takuya Katayama;conf/dood/TanK89|conf/icse/Katayama01;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Takuya Yoshihiro;conf/amcp/KatayamaKKTYK98;Universidad Privada Boliviana;http://www.upb.edu/
Tal Rabin;conf/stoc/RabinB89;Baltimore International College;http://www.bic.edu/
Talel Abdessalem;conf/dbpl/AbdessalemJ97;Arkansas State University, Mountain Home;http://www.asumh.edu/
Tali Roth;conf/sigmod/AvnurHLORRRW98|journals/computer/HellersteinACHORRH99;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/
Talib Damij;conf/adbis/JaklicSDGGKRT99;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/
Tam Nguyen;conf/sigmod/NguyenS96;Florida Christian College;http://www.fcc.edu/
Tamara Munzner;conf/vrml/MunznerB95;Bard College;http://www.bard.edu/
Tamas Abraham;conf/er/AbrahamR98;Harding University Graduate School of Religion;http://www.hugsr.edu/
Tammy Chan;conf/icdcs/ChanBHKL84;Chiang Mai Vocational College;http://www.cmvc.ac.th/
Tammy Parker;journals/computer/Parker98;Universidad Agroforestal Fernando A.Meriño;http://www.uafam.edu.do/
Tamraparni Dasu;conf/kdd/JohnsonD98;University of Nigeria;http://www.unn.edu.ng/
Tan Kah Poh;conf/vldb/JooPM84;East Somalia University;http://www.eastsomaliauniversity.com/
Tan Tahn Joo;conf/vldb/JooPM84;Pomorsk State University;http://www.pomorsu.ru/
Tan Watanabe;journals/cacm/WatanabeOS83;Shoreline Community College;http://www.shoreline.edu/
Tanel Tammet;conf/cikm/Tammet95;East Somalia University;http://www.eastsomaliauniversity.com/
Tansel Okay;conf/sigmod/DogacAEOADAOS94;University of Ghana;http://www.ug.edu.gh/
Tanveer Fathima Syeda-Mahmood;conf/icde/ChangMZS98|journals/mta/RemiasSZS97|conf/icmcs/ZhangCMS97|conf/mm/ChangSZS97;Coker College;http://www.coker.edu/
Tao Guan;conf/er/GuanLS98;Halmstad University College;http://www.hh.se/
Tao Jiang 0001;journals/siamcomp/IbarraJTW95|conf/focs/EtzioniHJKMW96;Harding University Graduate School of Religion;http://www.hugsr.edu/
Tao Song;journals/dpd/KamelSK93;Pennsylvania State University - Abington;http://www.abington.psu.edu/
Tao Yang 0009;journals/jpdc/AndresenYI97|conf/adl/AndresenYEIS96;Lancaster University Ghana;http://www.lancaster.edu.gh/
Tao-Heng Yang;journals/tkde/ChenYY96;University of Leeds;http://www.leeds.ac.uk/
Taoufik Ben Abdellatif;conf/icdcs/UrbanA94;Schiller International University, Paris;http://www.schillerparis.com/
Tarek F. Abdelzaher;journals/cn/AbdelzaherB99;Zaporizhzhe National University;http://www.znu.edu.ua/
Tarek M. Anwar;journals/tkde/BeckAN94|conf/icde/AnwarBN92|conf/nato/NavatheSABG93;Saybrook Institute;http://www.saybrook.org/
Tarik Beldjilali;conf/adbis/BeldjilaliH95|conf/dexaw/Beldjilali95;Trakia University Stara Zagora;http://www.uni-sz.bg/
Tarik Bouaziz;conf/icde/WolskiB98|conf/dexa/BouazizKPW97;Czech Technical University of Prague;http://www.cvut.cz/
Tariq Samad;journals/tkde/SamadI91;University of National and World Economy;http://www.unwe.acad.bg/
Tarun Arora;conf/dood/AroraRRSS93;East Somalia University;http://www.eastsomaliauniversity.com/
Tat-Seng Chua;journals/vldb/OoiTCH98|conf/dasfaa/TanOC97|journals/tois/ChuaR95|conf/icmcs/ChuaTO97|conf/mm/ChuaLP94|conf/mm/HsuCP95|conf/mm/ChuaLOT96;British College of Osteopathic Medicine;http://www.bcom.ac.uk/
Tatiana Chan-Sine-Ying;conf/vldb/BouganimCDDGS99;Arab Open University;http://www.aou.org.bh/
Tatiana Yakusheva;conf/vldb/PirotteZMY94;Dalhousie University;http://www.dal.ca/
Tatjana L. Plotkin;conf/adbis/Plotkin95a;American-European School of Management ;http://www.aesom.com/
Tatjana Welzer;conf/adbis/Welzer97|conf/adbis/JuricWRHBDZ99|conf/dexa/WelzerE93;Cyberjaya University College of Medical Science;http://www.cybermed.edu.my/
Tatsuo Minohara;conf/iwdm/NakamuraMMIS87|conf/fodo/MinoharaWT93;Evangel University;http://www.evangel.edu/
Tatsuo Nakajima;conf/oodbs/Nakajima92;Augustana University College;http://www.augustana.ab.ca/
Tatsuya Hayashi;conf/future/IshikawaIKH92;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
Tatsuya Nakamura;conf/dasfaa/YokotaNTK99;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/
Tatsuya Ohnishi;conf/usenix/WadaYOT93;Universitas Negeri Padang;http://www.unp.ac.id/
Tatu Ylönen;journals/tkde/Pollari-MalmiSY96|conf/icdt/Soisalon-SoininenY95;University of South Africa;http://www.unisa.ac.za/
Tatuo Nakanishi;conf/pods/MenasceN82|journals/is/MenasceN82;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/
Ted A. Dolotta;conf/icse/DolottaM76;University of Leeds;http://www.leeds.ac.uk/
Ted Briggs;conf/vldb/BancilhonBKV87|conf/dbpl/ValduriezDHBC89;Florida Christian College;http://www.fcc.edu/
Ted Briscoe;conf/ijcai/BriscoeGBC87;Baltimore International College;http://www.bic.edu/
Ted E. Senator;journals/aim/NechesFFGPSS91|journals/aim/SenatorGWCKKLMW95;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
Ted G. Lewis;journals/tse/MaL81|journals/computer/LewisC88;Tokyo Dental College;http://www.tdc.ac.jp/
Ted J. Biggerstaff;journals/software/BiggerstaffR87|journals/computer/Biggerstaff89|conf/icse/BiggerstaffMW93;Plymouth State College;http://www.plymouth.edu/
Ted Kaehler;conf/oopsla/Kaehler86;Tokyo Dental College;http://www.tdc.ac.jp/
Ted Kitzmiller;journals/cacm/MarkosianNBBK94;Da-Yeh University;http://www.dyu.edu.tw/
Ted M. Sparr;conf/ssdbm/Sparr81|conf/ssdbm/KaoBS98;Higher Institute of Business Administration;http://www.hiba.edu.sy/
Ted Messinger;conf/icde/ChengHHIMMW91;University of Dallas;http://www.udallas.edu/
Ted Selker;journals/algorithmica/AlpernCFS94;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
Tei-Wei Kuo;conf/icde/KuoWL99|conf/rtss/KuoM92|conf/rtss/KuoM93;Dai Ichi University, College of Technology;http://www.daiichi-koudai.ac.jp/
Tein-Hsiang Lin;journals/tc/ShinLL87;Tohoku Institute of Technology;http://www.tohtech.ac.jp
Tej Anand;journals/jiis/Anand95|conf/kdd/BrachmanA94;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
Ten-Hwang Lai;conf/icde/WeiLLL92;University of Ghana;http://www.ug.edu.gh/
Teodor C. Przymusinski;conf/pods/GelfondPP86|conf/pods/Przymusinski89|journals/ai/Przymusinski89|journals/ai/GelfondPP89|journals/fuin/Przymusinski90|journals/jar/Przymusinski89|journals/ngc/Przymusinski91|conf/dood/Przymusinski91|conf/slp/Przymusinski89|conf/slp/Przymusinski90|conf/aaai/Przymusinski94|conf/kr/Przymusinski89|conf/kr/BrassDP96|conf/iclp/Przymusinski88|conf/iclp/Przymusinski89|conf/iclp/PrzymusinskaP88|conf/iclp/Przymusinski90;Kent State University - Stark;http://www.stark.kent.edu/
Teofilo F. Gonzalez;journals/tcs/Gonzalez85;Queensland University of Technology;http://www.qut.edu.au/
Terence Critchlow;journals/sigmod/MusickC99|conf/ssdbm/SargentFCSMLC96|conf/krdb/CritchlowGM98;Chongqing Three Gorges University;http://www.sanxiau.edu.cn/
Terence M. Barron;journals/tkde/DeyBS98|journals/vldb/DeyBS96|conf/er/ChiangBS93|journals/dke/ChiangBS94|journals/dke/ChiangBS96;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
Terence R. Smith;conf/icde/GeffnerAAS99|conf/er/SmithSS94|journals/debu/SmithSAA93|journals/computer/Smith96|conf/adl/AndresenYEIS96|conf/adl/ChengDNPKWAAFSSS97|conf/cikm/WuAASS96|conf/deductive/SaranPCASS93;Universidad Autónoma de Nuevo León;http://www.uanl.mx/
Teresa F. Lunt;journals/tkde/QianL97|journals/tkde/QianL96|journals/sigmod/LuntF90|journals/debu/LuntF90|journals/tse/DenningAHLMNS87|journals/tse/LuntDSHS90|conf/dbsec/MorgensternLTS91|conf/dbsec/QianL92|conf/dbsec/LuntH90|conf/dbsec/Lunt88|conf/dbsec/GarveyLQS92|conf/dbsec/Lunt89;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/
Teresa Keddis;journals/acj/ToporKW85;Catholic University in Ruzomberok;http://www.ku.sk/
Teresa L. Roberts;journals/cacm/RobertsM83|journals/computer/JohnsonRVSIBM89;University of Wisconsin - Stout;http://www.uwstout.edu/
Teresa Mah;conf/sigmod/NgLHM99;California Institute of Integral Studies;http://www.ciis.edu/
Terje Brasethvik;conf/er/BrasethvikG99;Western Bible College;http://www.westernbible.edu/
Terrance Swift;conf/sigmod/SagonasSW94|journals/jlp/ChenSW95|conf/iclp/RamakrishnanRSSW95|conf/deductive/SagonasSW93;Lincoln University Pennsylvania;http://www.lincoln.edu/
Terrence C. Miller;conf/icse/AdamsHM89;Trakia University Stara Zagora;http://www.uni-sz.bg/
Terrence Champion;journals/cacm/DurstCWMS99;Saybrook Institute;http://www.saybrook.org/
Terrence J. Sejnowski;journals/ai/TesauroS89|journals/cogsci/AckleyHS85|conf/aaai/FahlmanHS83;Lincoln University Pennsylvania;http://www.lincoln.edu/
Terrence R. Crowley;journals/computer/ThomasFCSTTR85|conf/cscw/CrowleyMBFT90;Sibelius Academy;http://www.siba.fi/
Terrence W. Pratt;journals/cacm/PrattF71|conf/sigmetrics/FrenchPD91;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Terry A. Halpin;conf/er/BloeschH97|conf/er/BloeschH96|conf/er/HalpinP95|conf/mfdbs/Halpin91|journals/dke/CampbellHP96|journals/dke/HalpinP95|conf/adc/CampbellH94|conf/caise/McCormackHR93;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
Terry A. Landers;journals/tods/RothnieBFGHLRSW80|conf/ddb/LandersR82;Shoreline Community College;http://www.shoreline.edu/
Terry A. Welch;journals/computer/Welch84;University of Central Texas;http://www.vvm.com/uct/
Terry Bollinger;journals/software/BarnesB91;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Terry D. Escamilla;journals/tkde/SimmonsEE93;University of Ghana;http://www.ug.edu.gh/
Terry E. Weymouth;conf/vldb/GuptaWJ91|journals/mta/HampapurJW95|conf/ssd/GuptaWJ91|conf/mm/HampapurWJ94;Tokyo Dental College;http://www.tdc.ac.jp/
Terry Gaasterland;conf/vldb/GaasterlandL94|journals/jiis/GaasterlandGM92|journals/jiis/GaasterlandGM92a|conf/lpar/GaasterlandGMN92;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
Terry McGregor;journals/cn/EichmannMD94;Université Protestante au Congo;http://www.upc.ac.cd/
Terry Moriarty;conf/er/MoriartyDFMS87;Sultan Idris Shah Polytechnic;http://www.psis.edu.my/
Terry R. Payne;journals/tkde/PayneEG97;Iran University of Medical Sciences;http://www.iums.ac.ir/
Terry R. Snyder;journals/software/HumphreySW91;Fachhochschule St. Gallen;https://www.fhsg.ch/
Terry Winograd;journals/debu/BrinMPW98|conf/dl/CousinsPWBP97|journals/ai/BobrowKKNTW77|journals/cacm/Winograd79|journals/cacm/PaepckeCGW98|journals/tois/FloresGHW88|journals/computer/PaepckeCGHKRW96|journals/cogsci/BobrowW77|conf/cscw/Medina-MoraWFF92|conf/chi/BaldonadoW97|conf/chi/BaldonadoW98;Trakia University Stara Zagora;http://www.uni-sz.bg/
Terrye Kocher;conf/sigmetrics/EnglertGKS90;Schiller International University, Paris;http://www.schillerparis.com/
Teruhiro Shimura;journals/tkde/ShimuraLM95;Catholic University of Pusan;http://www.cup.ac.kr/
Teruhisa Houchin;conf/future/Houchin92;Universidad Técnica Estatal de Quevedo;http://www.uteq.edu.ec/
Tessa A. Lau;journals/cacm/LauEW99;Handelshochschule Leipzig;http://www.hhl.de/
Tetsuji Satoh;conf/dasfaa/SatohTIF91|conf/pdis/HiranoSIT91|conf/fodo/SatohTT89;Ecole Centrale de Lyon;http://www.ec-lyon.fr/
Tetsuo Asano;journals/tcs/AsanoRRWW97|conf/soda/AsanoCKT96|conf/focs/AsanoA83;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Tetsuo Mizoguchi;conf/icde/UdagawaM84|conf/vldb/UdagawaM86|conf/vldb/NakamuraM78|journals/debu/UdagawaM84;Université Hassan Ier - Settat;http://www.uh1.ac.ma/
Tetsuo Toh;conf/vldb/TohKS77;University of the Air;http://www.u-air.ac.jp/
Tetsuro Ito;journals/tods/ItoK83|journals/toms/ItoK77;Belarussian State Technological University;http://www.bstu.unibel.by/
Tetsuya Furukawa;conf/icde/IwaiharaFK91|conf/er/FurukawaS98|conf/er/FurukawaXS98|conf/ride/KonomiF91|conf/dood/KonomiFK93|conf/nf2/KambayashiFY87;Halmstad University College;http://www.hh.se/
Tetsuya Higuchi;conf/aaai/KitanoH91;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
Tetsuya Matsuyama;conf/er/TarumiMK98;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
Teunis J. Ott;conf/sigmetrics/LelandO86;Moody Bible Institute;http://www.moody.edu/
Teuvo Kohonen;conf/kdd/LagusHKK96;Carnegie Mellon University;http://www.cmu.edu/
Th. Collet-Petitjean;conf/er/Collet-PetitjeanDGJM86;Pamir University;http://www.pamir.edu.af/
Thai M. Chung;conf/srds/LilienC88;International Culinary Institute (ICI);http://www.ici-luzern.com/
Thanasis Hadzilacos;conf/pods/HadzilacosH88|conf/pods/Hadzilacos86|conf/pods/HadzilacosP85|conf/pods/Hadzilacos88|journals/jcss/HadzilacosY89|journals/jcss/HadzilacosP86|journals/jcss/HadzilacosH91|conf/ideas/TryfonaH98|conf/gis/TryfonaH95;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Thanasis Tsantilas;conf/spaa/GoudreauLRST96;Baltimore International College;http://www.bic.edu/
Thane E. Plambeck;conf/pods/Plambeck90;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
